acousticness,danceability,duration_ms,energy,explicit,instrumentalness,key,liveness,loudness,mode,popularity,speechiness,tempo,valence,year
0.727,0.387,212147,0.44,0,0,5,0.138,-10.937,1,43,0.0872,96.062,0.582,2000
0.83,0.556,154573,0.227,0,0.00504,9,0.114,-17.461,0,44,0.0396,84.388,0.0348,2000
2.45E-05,0.301,319173,0.988,1,0.231,1,0.191,-2.898,1,44,0.173,127.803,0.166,2000
0.555,0.699,136760,0.434,0,3.48E-06,7,0.248,-9.4,1,41,0.0325,104.956,0.977,2000
0.304,0.52,223467,0.613,0,0,6,0.0778,-5.948,1,43,0.0246,95.496,0.589,2000
6.58E-05,0.59,226667,0.685,0,3.08E-05,0,0.165,-5.216,1,50,0.0282,112.411,0.425,2000
0.332,0.714,209760,0.552,0,0,5,0.0702,-8.751,1,42,0.0359,131.984,0.983,2000
0.00256,0.463,227973,0.91,0,0.0592,7,0.088,-5.278,1,43,0.0398,144.906,0.682,2000
0.132,0.841,192187,0.819,0,3.72E-05,0,0.0406,-4.269,1,39,0.0368,98.831,0.942,2000
0.00257,0.469,224320,0.926,0,0.00402,9,0.33,-4.492,1,58,0.0461,154.349,0.56,2000
0.406,0.603,280493,0.292,0,0,10,0.136,-7.622,1,50,0.0282,127.905,0.231,2000
0.00143,0.587,197400,0.759,0,0,5,0.0637,-5.571,1,40,0.0346,128.4,0.866,2000
0.823,0.455,261850,0.796,0,0.528,5,0.102,-7.29,0,42,0.0444,86.999,0.258,2000
0.426,0.346,157733,0.175,0,0.000263,10,0.154,-17.192,1,43,0.0427,168.045,0.357,2000
0.22,0.503,199800,0.62,0,2.29E-06,0,0.0778,-7.265,0,38,0.0364,156.243,0.736,2000
0.0518,0.639,124360,0.844,0,0.0899,6,0.113,-8.721,1,41,0.0568,167.865,0.874,2000
0.00239,0.429,266773,0.661,0,0.00013,11,0.234,-7.227,1,51,0.0281,173.365,0.285,2000
0.0153,0.565,259693,0.922,1,0,1,0.267,-5.561,0,42,0.368,193.91,0.432,2000
